"ID","Gene","TO_annotation","TO_ID"
"1","GRMZM2G443265","biochemical trait","TO:0000277"
"2","GRMZM2G443265","biological process related trait","TO:0000283"
"3","GRMZM2G443265","physiological process related trait","TO:0000349"
"4","GRMZM2G443265","leaf water potential","TO:0000131"
"5","GRMZM2G443265","relative water content","TO:0000136"
"6","GRMZM2G141386","biochemical trait","TO:0000277"
"7","GRMZM2G141386","biological process related trait","TO:0000283"
"8","GRMZM2G141386","physiological process related trait","TO:0000349"
"9","GRMZM2G141386","leaf water potential","TO:0000131"
"10","GRMZM2G141386","relative water content","TO:0000136"
"11","GRMZM2G308034","biochemical trait","TO:0000277"
"12","GRMZM2G308034","biological process related trait","TO:0000283"
"13","GRMZM2G308034","physiological process related trait","TO:0000349"
"14","GRMZM2G308034","lignin biosynthesis trait","TO:0000733"
"15","GRMZM2G006981","biochemical trait","TO:0000277"
"16","GRMZM2G006981","biological process related trait","TO:0000283"
"17","GRMZM2G006981","physiological process related trait","TO:0000349"
"18","GRMZM2G006981","lignin biosynthesis trait","TO:0000733"
"19","GRMZM2G007080","biochemical trait","TO:0000277"
"20","GRMZM2G007080","biological process related trait","TO:0000283"
"21","GRMZM2G007080","physiological process related trait","TO:0000349"
"22","GRMZM2G007080","lignin biosynthesis trait","TO:0000733"
"23","GRMZM2G007206","biochemical trait","TO:0000277"
"24","GRMZM2G007206","biological process related trait","TO:0000283"
"25","GRMZM2G007206","physiological process related trait","TO:0000349"
"26","GRMZM2G007206","lignin biosynthesis trait","TO:0000733"
"27","GRMZM2G005652","biochemical trait","TO:0000277"
"28","GRMZM2G005652","biological process related trait","TO:0000283"
"29","GRMZM2G005652","physiological process related trait","TO:0000349"
"30","GRMZM2G005652","lignin biosynthesis trait","TO:0000733"
"31","GRMZM2G011357","biochemical trait","TO:0000277"
"32","GRMZM2G011357","biological process related trait","TO:0000283"
"33","GRMZM2G011357","physiological process related trait","TO:0000349"
"34","GRMZM2G011357","lignin biosynthesis trait","TO:0000733"
"35","GRMZM2G010871","biochemical trait","TO:0000277"
"36","GRMZM2G010871","biological process related trait","TO:0000283"
"37","GRMZM2G010871","physiological process related trait","TO:0000349"
"38","GRMZM2G010871","lignin biosynthesis trait","TO:0000733"
"39","GRMZM2G103773","biochemical trait","TO:0000277"
"40","GRMZM2G103773","biological process related trait","TO:0000283"
"41","GRMZM2G103773","physiological process related trait","TO:0000349"
"42","GRMZM2G103773","photosynthetic ability","TO:0000316"
"43","GRMZM2G103843","biochemical trait","TO:0000277"
"44","GRMZM2G103843","biological process related trait","TO:0000283"
"45","GRMZM2G103843","physiological process related trait","TO:0000349"
"46","GRMZM2G103843","photosynthetic ability","TO:0000316"
"47","GRMZM2G470442","biochemical trait","TO:0000277"
"48","GRMZM2G470442","biological process related trait","TO:0000283"
"49","GRMZM2G470442","physiological process related trait","TO:0000349"
"50","GRMZM2G470442","photosynthetic rate","TO:0001015"
"51","GRMZM2G172244","biochemical trait","TO:0000277"
"52","GRMZM2G172244","biological process related trait","TO:0000283"
"53","GRMZM2G172244","physiological process related trait","TO:0000349"
"54","GRMZM2G172244","photosynthetic rate","TO:0001015"
"55","GRMZM2G175818","biochemical trait","TO:0000277"
"56","GRMZM2G175818","enzymatic activity and protein content related trait","TO:0000282"
"57","GRMZM2G175818","enzyme activity trait","TO:0000599"
"58","GRMZM2G175818","ADP glucose pyrophosphorylase activity trait","TO:0000284"
