"ID","Gene","TO_annotation","TO_ID"
"19995","GRMZM2G124045","plant phenological trait","TO:0000933"
"19996","GRMZM2G124045","days to inflorescence exsertion","TO:0001021"
"19997","GRMZM2G124045","days to heading","TO:0000137"
"19998","GRMZM2G158140","plant growth and development trait","TO:0000357"
"19999","GRMZM2G158140","plant phenological trait","TO:0000933"
"20000","GRMZM2G158140","days to inflorescence exsertion","TO:0001021"
"20001","GRMZM2G158140","days to heading","TO:0000137"
"20002","GRMZM2G175525","plant growth and development trait","TO:0000357"
"20003","GRMZM2G175525","plant phenological trait","TO:0000933"
"20004","GRMZM2G175525","days to inflorescence exsertion","TO:0001021"
"20005","GRMZM2G175525","days to heading","TO:0000137"
"20006","GRMZM2G101264","plant growth and development trait","TO:0000357"
"20007","GRMZM2G101264","plant phenological trait","TO:0000933"
"20008","GRMZM2G101264","days to inflorescence exsertion","TO:0001021"
"20009","GRMZM2G101264","days to heading","TO:0000137"
"20010","GRMZM2G039399","plant growth and development trait","TO:0000357"
"20011","GRMZM2G039399","plant phenological trait","TO:0000933"
"20012","GRMZM2G039399","days to inflorescence exsertion","TO:0001021"
"20013","GRMZM2G039399","days to heading","TO:0000137"
"20014","GRMZM2G124476","plant growth and development trait","TO:0000357"
"20015","GRMZM2G124476","plant phenological trait","TO:0000933"
"20016","GRMZM2G124476","days to inflorescence exsertion","TO:0001021"
"20017","GRMZM2G124476","days to heading","TO:0000137"
"20018","GRMZM2G124466","plant growth and development trait","TO:0000357"
"20019","GRMZM2G124466","plant phenological trait","TO:0000933"
"20020","GRMZM2G124466","days to inflorescence exsertion","TO:0001021"
"20021","GRMZM2G124466","days to heading","TO:0000137"
"20022","GRMZM2G016890","plant growth and development trait","TO:0000357"
"20023","GRMZM2G016890","plant phenological trait","TO:0000933"
"20024","GRMZM2G016890","days to inflorescence exsertion","TO:0001021"
"20025","GRMZM2G016890","days to heading","TO:0000137"
"20026","GRMZM2G440259","plant growth and development trait","TO:0000357"
"20027","GRMZM2G440259","plant phenological trait","TO:0000933"
"20028","GRMZM2G440259","days to inflorescence exsertion","TO:0001021"
"20029","GRMZM2G440259","days to heading","TO:0000137"
"20030","GRMZM2G142820","plant growth and development trait","TO:0000357"
"20031","GRMZM2G142820","plant phenological trait","TO:0000933"
"20032","GRMZM2G142820","days to inflorescence exsertion","TO:0001021"
"20033","GRMZM2G142820","days to heading","TO:0000137"
"20034","GRMZM2G017815","plant growth and development trait","TO:0000357"
"20035","GRMZM2G017815","plant phenological trait","TO:0000933"
"20036","GRMZM2G017815","days to inflorescence exsertion","TO:0001021"
"20037","GRMZM2G017815","days to heading","TO:0000137"
"20038","GRMZM2G136960","plant growth and development trait","TO:0000357"
"20039","GRMZM2G136960","plant phenological trait","TO:0000933"
"20040","GRMZM2G136960","days to inflorescence exsertion","TO:0001021"
"20041","GRMZM2G136960","days to heading","TO:0000137"
"20042","GRMZM2G136895","plant growth and development trait","TO:0000357"
"20043","GRMZM2G136895","plant phenological trait","TO:0000933"
"20044","GRMZM2G136895","days to inflorescence exsertion","TO:0001021"
"20045","GRMZM2G136895","days to heading","TO:0000137"
"20046","GRMZM2G076602","plant growth and development trait","TO:0000357"
"20047","GRMZM2G076602","plant phenological trait","TO:0000933"
"20048","GRMZM2G076602","days to inflorescence exsertion","TO:0001021"
"20049","GRMZM2G076602","days to heading","TO:0000137"
"20050","GRMZM2G029641","plant growth and development trait","TO:0000357"
"20051","GRMZM2G029641","plant phenological trait","TO:0000933"
"20052","GRMZM2G029641","days to inflorescence exsertion","TO:0001021"
"20053","GRMZM2G029641","days to heading","TO:0000137"
"20054","GRMZM2G159720","plant growth and development trait","TO:0000357"
"20055","GRMZM2G159720","plant phenological trait","TO:0000933"
"20056","GRMZM2G159720","days to inflorescence exsertion","TO:0001021"
"20057","GRMZM2G159720","days to heading","TO:0000137"
"20058","GRMZM2G159675","plant growth and development trait","TO:0000357"
"20059","GRMZM2G159675","plant phenological trait","TO:0000933"
"20060","GRMZM2G159675","days to inflorescence exsertion","TO:0001021"
"20061","GRMZM2G159675","days to heading","TO:0000137"
"20062","GRMZM2G142680","plant growth and development trait","TO:0000357"
"20063","GRMZM2G142680","plant phenological trait","TO:0000933"
"20064","GRMZM2G142680","days to inflorescence exsertion","TO:0001021"
"20065","GRMZM2G142680","days to heading","TO:0000137"
"20066","GRMZM2G070111","plant growth and development trait","TO:0000357"
"20067","GRMZM2G070111","plant phenological trait","TO:0000933"
"20068","GRMZM2G070111","days to inflorescence exsertion","TO:0001021"
"20069","GRMZM2G070111","days to heading","TO:0000137"
"20070","GRMZM2G052515","plant growth and development trait","TO:0000357"
"20071","GRMZM2G052515","plant phenological trait","TO:0000933"
"20072","GRMZM2G052515","days to inflorescence exsertion","TO:0001021"
"20073","GRMZM2G052515","days to heading","TO:0000137"
"20074","GRMZM2G176998","plant growth and development trait","TO:0000357"
"20075","GRMZM2G176998","plant phenological trait","TO:0000933"
"20076","GRMZM2G176998","days to inflorescence exsertion","TO:0001021"
"20077","GRMZM2G176998","days to heading","TO:0000137"
"20078","GRMZM2G160279","plant growth and development trait","TO:0000357"
"20079","GRMZM2G160279","plant phenological trait","TO:0000933"
"20080","GRMZM2G160279","days to inflorescence exsertion","TO:0001021"
"20081","GRMZM2G160279","days to heading","TO:0000137"
"20082","GRMZM2G159811","plant growth and development trait","TO:0000357"
"20083","GRMZM2G159811","plant phenological trait","TO:0000933"
"20084","GRMZM2G159811","days to inflorescence exsertion","TO:0001021"
"20085","GRMZM2G159811","days to heading","TO:0000137"
"20086","GRMZM2G077951","plant growth and development trait","TO:0000357"
"20087","GRMZM2G077951","plant phenological trait","TO:0000933"
"20088","GRMZM2G077951","days to inflorescence exsertion","TO:0001021"
"20089","GRMZM2G077951","days to heading","TO:0000137"
"20090","GRMZM2G097641","plant growth and development trait","TO:0000357"
"20091","GRMZM2G097641","plant phenological trait","TO:0000933"
"20092","GRMZM2G097641","flowering time trait","TO:0002616"
"20093","GRMZM2G097641","anthesis silking interval","TO:0000463"
"20094","GRMZM2G157313","plant growth and development trait","TO:0000357"
"20095","GRMZM2G157313","plant phenological trait","TO:0000933"
"20096","GRMZM2G157313","flowering time trait","TO:0002616"
"20097","GRMZM2G157313","anthesis silking interval","TO:0000463"
"20098","GRMZM2G074585","plant growth and development trait","TO:0000357"
"20099","GRMZM2G074585","plant phenological trait","TO:0000933"
"20100","GRMZM2G074585","flowering time trait","TO:0002616"
"20101","GRMZM2G074585","anthesis silking interval","TO:0000463"
"20102","GRMZM2G159720","flowering time trait","TO:0002616"
"20103","GRMZM2G159720","anthesis silking interval","TO:0000463"
"20104","GRMZM2G159675","flowering time trait","TO:0002616"
