"ID","Gene","TO_annotation","TO_ID"
"20348","GRMZM2G098813","plant growth and development trait","TO:0000357"
"20349","GRMZM2G098813","plant structure growth and development trait","TO:0000928"
"20350","GRMZM2G098813","shoot system growth and development trait","TO:0000654"
"20351","GRMZM2G098813","inflorescence development trait","TO:0006027"
"20352","GRMZM2G098813","inflorescence branching","TO:0000050"
"20353","GRMZM2G098813","primary branching of inflorescence","TO:0000052"
"20354","GRMZM2G004163","plant growth and development trait","TO:0000357"
"20355","GRMZM2G004163","plant structure growth and development trait","TO:0000928"
"20356","GRMZM2G004163","shoot system growth and development trait","TO:0000654"
"20357","GRMZM2G004163","inflorescence development trait","TO:0006027"
"20358","GRMZM2G004163","inflorescence branching","TO:0000050"
"20359","GRMZM2G004163","primary branching of inflorescence","TO:0000052"
"20360","GRMZM2G004060","plant growth and development trait","TO:0000357"
"20361","GRMZM2G004060","plant structure growth and development trait","TO:0000928"
"20362","GRMZM2G004060","shoot system growth and development trait","TO:0000654"
"20363","GRMZM2G004060","inflorescence development trait","TO:0006027"
"20364","GRMZM2G004060","inflorescence branching","TO:0000050"
