"ID","Gene","TO_annotation","TO_ID"
"10933","LOC_Os03g08140","yield trait","TO:0000371"
"10934","LOC_Os03g08140","shoot system yield trait","TO:0000327"
"10935","LOC_Os03g08140","plant dry weight","TO:0000352"
"10936","LOC_Os03g08140","shoot dry weight","TO:0000552"
"10937","LOC_Os03g08140","relative shoot dry weight","TO:0000636"
"10938","LOC_Os03g08150","yield trait","TO:0000371"
"10939","LOC_Os03g08150","shoot system yield trait","TO:0000327"
"10940","LOC_Os03g08150","plant dry weight","TO:0000352"
"10941","LOC_Os03g08150","shoot dry weight","TO:0000552"
"10942","LOC_Os03g08150","relative shoot dry weight","TO:0000636"
"10943","LOC_Os03g08120","plant morphology trait","TO:0000017"
"10944","LOC_Os03g08120","plant structure morphology trait","TO:0000839"
