"ID","Gene","TO_annotation","TO_ID"
"11278","LOC_Os03g11450","plant morphology trait","TO:0000017"
"11279","LOC_Os03g11450","plant structure morphology trait","TO:0000839"
"11280","LOC_Os03g11450","cardinal part of a multi-tissue plant structure morphology trait","TO:0000837"
"11281","LOC_Os03g11450","cardinal organ part morphology trait","TO:0000754"
"11282","LOC_Os03g11450","leaf lamina morphology trait","TO:0000829"
"11283","LOC_Os03g11450","leaf lamina length","TO:0002690"
"11284","LOC_Os03g11460","plant morphology trait","TO:0000017"
"11285","LOC_Os03g11460","plant structure morphology trait","TO:0000839"
"11286","LOC_Os03g11460","cardinal part of a multi-tissue plant structure morphology trait","TO:0000837"
"11287","LOC_Os03g11460","cardinal organ part morphology trait","TO:0000754"
"11288","LOC_Os03g11460","leaf lamina morphology trait","TO:0000829"
"11289","LOC_Os03g11460","leaf lamina length","TO:0002690"
"11290","LOC_Os03g12064","stress trait","TO:0000164"
"11291","LOC_Os03g12064","biotic stress trait","TO:0000179"
"11292","LOC_Os03g12064","crop damage resistance","TO:0000236"
"11293","LOC_Os03g12064","disease resistance","TO:0000112"
"11294","LOC_Os03g12064","fungal disease resistance","TO:0000439"
"11295","LOC_Os03g12064","blast disease resistance","TO:0000074"
"11296","LOC_Os03g12080","stress trait","TO:0000164"
"11297","LOC_Os03g12080","biotic stress trait","TO:0000179"
"11298","LOC_Os03g12080","crop damage resistance","TO:0000236"
"11299","LOC_Os03g12080","disease resistance","TO:0000112"
"11300","LOC_Os03g12080","fungal disease resistance","TO:0000439"
"11301","LOC_Os03g12080","blast disease resistance","TO:0000074"
"11302","LOC_Os03g12630","biochemical trait","TO:0000277"
"11303","LOC_Os03g12630","mineral and ion content related trait","TO:0000465"
"11304","LOC_Os03g12630","zinc content","TO:0020090"
"11305","LOC_Os03g12630","zinc concentration","TO:0006053"
"11306","LOC_Os03g12640","biochemical trait","TO:0000277"
"11307","LOC_Os03g12640","mineral and ion content related trait","TO:0000465"
"11308","LOC_Os03g12640","zinc content","TO:0020090"
"11309","LOC_Os03g12640","zinc concentration","TO:0006053"
"11310","LOC_Os03g12650","biochemical trait","TO:0000277"
"11311","LOC_Os03g12650","mineral and ion content related trait","TO:0000465"
"11312","LOC_Os03g12650","zinc content","TO:0020090"
"11313","LOC_Os03g12650","zinc concentration","TO:0006053"
"11314","LOC_Os03g12660","biochemical trait","TO:0000277"
"11315","LOC_Os03g12660","mineral and ion content related trait","TO:0000465"
"11316","LOC_Os03g12660","zinc content","TO:0020090"
"11317","LOC_Os03g12660","zinc concentration","TO:0006053"
"11318","LOC_Os03g12710","biochemical trait","TO:0000277"
"11319","LOC_Os03g12710","mineral and ion content related trait","TO:0000465"
"11320","LOC_Os03g12710","ash content","TO:0000607"
"11321","LOC_Os03g12720","biochemical trait","TO:0000277"
"11322","LOC_Os03g12720","mineral and ion content related trait","TO:0000465"
"11323","LOC_Os03g12720","ash content","TO:0000607"
"11324","LOC_Os03g12730","biochemical trait","TO:0000277"
"11325","LOC_Os03g12730","mineral and ion content related trait","TO:0000465"
"11326","LOC_Os03g12730","ash content","TO:0000607"
"11327","LOC_Os03g12750","biochemical trait","TO:0000277"
"11328","LOC_Os03g12750","mineral and ion content related trait","TO:0000465"
"11329","LOC_Os03g12750","ash content","TO:0000607"
"11330","LOC_Os03g12790","biochemical trait","TO:0000277"
"11331","LOC_Os03g12790","mineral and ion content related trait","TO:0000465"
"11332","LOC_Os03g12790","ash content","TO:0000607"
"11333","LOC_Os03g12820","biochemical trait","TO:0000277"
"11334","LOC_Os03g12820","mineral and ion content related trait","TO:0000465"
"11335","LOC_Os03g12820","ash content","TO:0000607"
"11336","LOC_Os03g12830","biochemical trait","TO:0000277"
"11337","LOC_Os03g12830","mineral and ion content related trait","TO:0000465"
"11338","LOC_Os03g12830","ash content","TO:0000607"
"11339","LOC_Os03g12840","biochemical trait","TO:0000277"
"11340","LOC_Os03g12840","mineral and ion content related trait","TO:0000465"
"11341","LOC_Os03g12840","ash content","TO:0000607"
"11342","LOC_Os03g12850","biochemical trait","TO:0000277"
"11343","LOC_Os03g12850","mineral and ion content related trait","TO:0000465"
"11344","LOC_Os03g12850","ash content","TO:0000607"
"11345","LOC_Os03g12860","plant morphology trait","TO:0000017"
"11346","LOC_Os03g12860","plant structure morphology trait","TO:0000839"
"11347","LOC_Os03g12860","whole plant morphology trait","TO:0000398"
"11348","LOC_Os03g12860","whole plant size","TO:1000012"
"11349","LOC_Os03g12860","plant height","TO:0000207"
"11350","LOC_Os03g12870","plant morphology trait","TO:0000017"
"11351","LOC_Os03g12870","plant structure morphology trait","TO:0000839"
"11352","LOC_Os03g12870","whole plant morphology trait","TO:0000398"
"11353","LOC_Os03g12870","whole plant size","TO:1000012"
"11354","LOC_Os03g12870","plant height","TO:0000207"
"11355","LOC_Os03g12870","cardinal part of a multi-tissue plant structure morphology trait","TO:0000837"
"11356","LOC_Os03g12870","cardinal organ part morphology trait","TO:0000754"
"11357","LOC_Os03g12870","leaf lamina morphology trait","TO:0000829"
"11358","LOC_Os03g12870","leaf lamina width","TO:0002720"
"11359","LOC_Os03g12879","plant morphology trait","TO:0000017"
"11360","LOC_Os03g12879","plant structure morphology trait","TO:0000839"
"11361","LOC_Os03g12879","cardinal part of a multi-tissue plant structure morphology trait","TO:0000837"
"11362","LOC_Os03g12879","cardinal organ part morphology trait","TO:0000754"
"11363","LOC_Os03g12879","leaf lamina morphology trait","TO:0000829"
"11364","LOC_Os03g12879","leaf lamina width","TO:0002720"
"11365","LOC_Os03g12890","plant morphology trait","TO:0000017"
"11366","LOC_Os03g12890","plant structure morphology trait","TO:0000839"
"11367","LOC_Os03g12890","cardinal part of a multi-tissue plant structure morphology trait","TO:0000837"
"11368","LOC_Os03g12890","cardinal organ part morphology trait","TO:0000754"
"11369","LOC_Os03g12890","leaf lamina morphology trait","TO:0000829"
"11370","LOC_Os03g12890","leaf lamina width","TO:0002720"
"11371","LOC_Os03g12900","plant morphology trait","TO:0000017"
"11372","LOC_Os03g12900","plant structure morphology trait","TO:0000839"
"11373","LOC_Os03g12900","cardinal part of a multi-tissue plant structure morphology trait","TO:0000837"
"11374","LOC_Os03g12900","cardinal organ part morphology trait","TO:0000754"
"11375","LOC_Os03g12900","leaf lamina morphology trait","TO:0000829"
"11376","LOC_Os03g12900","leaf lamina width","TO:0002720"
"11377","LOC_Os03g12910","plant morphology trait","TO:0000017"
"11378","LOC_Os03g12910","plant structure morphology trait","TO:0000839"
"11379","LOC_Os03g12910","cardinal part of a multi-tissue plant structure morphology trait","TO:0000837"
"11380","LOC_Os03g12910","cardinal organ part morphology trait","TO:0000754"
"11381","LOC_Os03g12910","leaf lamina morphology trait","TO:0000829"
"11382","LOC_Os03g12910","leaf lamina width","TO:0002720"
"11383","LOC_Os03g12930","yield trait","TO:0000371"
"11384","LOC_Os03g12930","spikelet number","TO:0000456"
"11385","LOC_Os03g12930","spikelets per panicle length","TO:0000565"
"11386","LOC_Os03g12940","yield trait","TO:0000371"
"11387","LOC_Os03g12940","spikelet number","TO:0000456"
"11388","LOC_Os03g12940","spikelets per panicle length","TO:0000565"
"11389","LOC_Os03g12945","yield trait","TO:0000371"
"11390","LOC_Os03g12945","spikelet number","TO:0000456"
"11391","LOC_Os03g12945","spikelets per panicle length","TO:0000565"
"11392","LOC_Os03g12950","yield trait","TO:0000371"
"11393","LOC_Os03g12950","spikelet number","TO:0000456"
"11394","LOC_Os03g12950","spikelets per panicle length","TO:0000565"
"11395","LOC_Os03g12930","biochemical trait","TO:0000277"
"11396","LOC_Os03g12930","mineral and ion content related trait","TO:0000465"
"11397","LOC_Os03g12930","ash content","TO:0000607"
"11398","LOC_Os03g12940","biochemical trait","TO:0000277"
"11399","LOC_Os03g12940","mineral and ion content related trait","TO:0000465"
"11400","LOC_Os03g12940","ash content","TO:0000607"
"11401","LOC_Os03g12945","biochemical trait","TO:0000277"
"11402","LOC_Os03g12945","mineral and ion content related trait","TO:0000465"
"11403","LOC_Os03g12945","ash content","TO:0000607"
"11404","LOC_Os03g12950","biochemical trait","TO:0000277"
"11405","LOC_Os03g12950","mineral and ion content related trait","TO:0000465"
"11406","LOC_Os03g12950","ash content","TO:0000607"
"11407","LOC_Os03g12960","biochemical trait","TO:0000277"
"11408","LOC_Os03g12960","mineral and ion content related trait","TO:0000465"
"11409","LOC_Os03g12960","ash content","TO:0000607"
"11410","LOC_Os03g13070","biochemical trait","TO:0000277"
"11411","LOC_Os03g13070","mineral and ion content related trait","TO:0000465"
"11412","LOC_Os03g13070","ash content","TO:0000607"
"11413","LOC_Os03g13080","biochemical trait","TO:0000277"
"11414","LOC_Os03g13080","mineral and ion content related trait","TO:0000465"
"11415","LOC_Os03g13080","ash content","TO:0000607"
"11416","LOC_Os03g13100","biochemical trait","TO:0000277"
"11417","LOC_Os03g13100","mineral and ion content related trait","TO:0000465"
"11418","LOC_Os03g13100","ash content","TO:0000607"
"11419","LOC_Os03g13110","biochemical trait","TO:0000277"
"11420","LOC_Os03g13110","mineral and ion content related trait","TO:0000465"
"11421","LOC_Os03g13110","ash content","TO:0000607"
"11422","LOC_Os03g13120","biochemical trait","TO:0000277"
"11423","LOC_Os03g13120","mineral and ion content related trait","TO:0000465"
"11424","LOC_Os03g13120","ash content","TO:0000607"
"11425","LOC_Os03g13130","biochemical trait","TO:0000277"
"11426","LOC_Os03g13130","mineral and ion content related trait","TO:0000465"
"11427","LOC_Os03g13130","ash content","TO:0000607"
"11428","LOC_Os03g13230","biochemical trait","TO:0000277"
"11429","LOC_Os03g13230","mineral and ion content related trait","TO:0000465"
"11430","LOC_Os03g13230","ash content","TO:0000607"
"11431","LOC_Os03g13240","biochemical trait","TO:0000277"
"11432","LOC_Os03g13240","mineral and ion content related trait","TO:0000465"
"11433","LOC_Os03g13240","ash content","TO:0000607"
"11434","LOC_Os03g13250","biochemical trait","TO:0000277"
"11435","LOC_Os03g13250","mineral and ion content related trait","TO:0000465"
"11436","LOC_Os03g13250","ash content","TO:0000607"
"11437","LOC_Os03g13260","biochemical trait","TO:0000277"
"11438","LOC_Os03g13260","mineral and ion content related trait","TO:0000465"
"11439","LOC_Os03g13260","ash content","TO:0000607"
"11440","LOC_Os03g13274","biochemical trait","TO:0000277"
"11441","LOC_Os03g13274","mineral and ion content related trait","TO:0000465"
