"ID","gene","GO_id"
"133","GRMZM2G107807","GO:0005515"
"134","GRMZM2G107807","GO:0035064"
"135","GRMZM2G083797","GO:0005515"
"136","GRMZM2G025037","GO:0004842"
"137","GRMZM2G025037","GO:0000151"
"138","GRMZM2G025037","GO:0005515"
"139","GRMZM2G025031","GO:0046686"
"140","GRMZM2G025031","GO:0004853"
"141","GRMZM2G401784","GO:0006221"
"142","GRMZM2G137582","GO:0005634"
"143","GRMZM2G137582","GO:0019005"
"144","GRMZM2G137582","GO:0005515"
"145","GRMZM2G405203","GO:0005515"
"146","GRMZM2G405203","GO:0005634"
"147","GRMZM2G405203","GO:0000151"
"148","GRMZM2G405203","GO:0009416"
"149","GRMZM2G405203","GO:0009414"
"150","GRMZM2G117207","GO:0016020"
"151","GRMZM2G071010","GO:0016881"
"152","GRMZM2G071010","GO:0031372"
"153","GRMZM2G071010","GO:0006301"
"154","GRMZM5G822593","GO:0034440"
"155","GRMZM5G822593","GO:0005515"
"156","GRMZM5G822593","GO:0005886"
"157","GRMZM2G090725","GO:0016772"
"158","GRMZM2G090725","GO:0005524"
"159","GRMZM2G090722","GO:0003824"
"160","GRMZM2G090722","GO:0009089"
"161","GRMZM2G097113","GO:0005975"
"162","GRMZM2G097113","GO:0016868"
"163","GRMZM5G811593","GO:0005215"
"164","GRMZM5G811593","GO:0016020"
"165","GRMZM5G811593","GO:0016021"
"166","GRMZM2G441722","GO:0042626"
"167","GRMZM2G441722","GO:0016021"
"168","GRMZM2G441722","GO:0006200"
"169","GRMZM2G441722","GO:0000166"
"170","GRMZM2G441722","GO:0016887"
"171","GRMZM2G441722","GO:0005524"
"172","GRMZM2G106177","GO:0016021"
"173","GRMZM2G106172","GO:0032259"
"174","GRMZM2G455909","GO:0043531"
"175","GRMZM5G844629","GO:0046686"
"176","GRMZM5G844629","GO:0005886"
"177","GRMZM2G134396","GO:0004435"
"178","GRMZM2G134396","GO:0005634"
"179","GRMZM2G134396","GO:0006188"
"180","GRMZM2G134396","GO:0005829"
"181","GRMZM2G543959","GO:0016192"
"182","GRMZM2G067424","GO:0016758"
"183","GRMZM2G108586","GO:0005886"
"184","GRMZM2G108588","GO:0006351"
"185","GRMZM2G108589","GO:0048573"
"186","GRMZM2G108589","GO:0005634"
"187","GRMZM2G108589","GO:0032453"
"188","GRMZM2G108589","GO:0005515"
