"moduleID","gene#","genelist"
"113","16","LOC_Os07g03288 LOC_Os11g01030 LOC_Os11g23930 LOC_Os05g05620 LOC_Os04g03870 LOC_Os11g37630 LOC_Os04g52720 LOC_Os12g30180 LOC_Os03g30420 LOC_Os06g35700 LOC_Os06g47740 LOC_Os08g37210 LOC_Os04g36750 LOC_Os01g17160 LOC_Os03g63510 LOC_Os01g48800"
"114","16","LOC_Os02g40400 LOC_Os07g47120 LOC_Os03g47820 LOC_Os01g57020 LOC_Os04g40810 LOC_Os03g16410 LOC_Os01g33764 LOC_Os10g35800 LOC_Os01g65770 LOC_Os09g28150 LOC_Os05g10800 LOC_Os03g07170 LOC_Os05g50120 LOC_Os06g04790 LOC_Os11g05410 LOC_Os05g35690"
"115","16","LOC_Os11g05170 LOC_Os12g35610 LOC_Os06g05020 LOC_Os01g21120 LOC_Os06g04950 LOC_Os01g21590 LOC_Os11g34390 LOC_Os06g05000 LOC_Os05g29810 LOC_Os06g04990 LOC_Os02g39880 LOC_Os01g45860 LOC_Os01g02160 LOC_Os03g19270 LOC_Os12g04980 LOC_Os06g35960"
"116","16","LOC_Os07g26150 LOC_Os11g02840 LOC_Os07g46320 LOC_Os07g11440 LOC_Os08g10240 LOC_Os08g14190 LOC_Os01g53370 LOC_Os11g28184 LOC_Os02g46970 LOC_Os01g65992 LOC_Os10g17260 LOC_Os05g31160 LOC_Os07g32630 LOC_Os03g47070 LOC_Os06g01250 LOC_Os01g67370"
"117","16","LOC_Os01g40280 LOC_Os06g45710 LOC_Os03g18220 LOC_Os03g17980.2 LOC_Os01g55540 LOC_Os08g06330 LOC_Os09g11250 LOC_Os01g42530 LOC_Os06g43550 LOC_Os03g13560 LOC_Os02g38920 LOC_Os09g25314 LOC_Os01g62420 LOC_Os03g44780 LOC_Os01g04190 LOC_Os10g25130"
"118","16","LOC_Os07g07974 LOC_Os01g02360 LOC_Os08g39880 LOC_Os08g06490 LOC_Os05g48970 LOC_Os05g23940 LOC_Os04g48040 LOC_Os07g49540 LOC_Os07g28900 LOC_Os03g56660 LOC_Os08g41420 LOC_Os03g07739 LOC_Os08g02000 LOC_Os09g04400 LOC_Os02g09690 LOC_Os01g15860"
"119","16","LOC_Os01g65890 LOC_Os12g01350 LOC_Os09g13940 LOC_Os01g22480 LOC_Os02g13340 LOC_Os01g36610 LOC_Os12g12380 LOC_Os04g41510 LOC_Os09g20020 LOC_Os02g38800 LOC_Os06g19180 LOC_Os02g05730 LOC_Os08g31780 LOC_Os05g41790 LOC_Os03g62650 LOC_Os04g39814"
"12","209","LOC_Os11g14280 LOC_Os07g17520 LOC_Os10g12390 LOC_Os08g28940 LOC_Os12g08780 LOC_Os11g31380 LOC_Os01g53550 LOC_Os10g04900 LOC_Os09g16260 LOC_Os05g26110 LOC_Os12g23040 LOC_Os09g36470 LOC_Os10g25850 LOC_Os12g38460 LOC_Os01g29870 LOC_Os02g29230 LOC_Os10g03660 "
"120","16","LOC_Os08g36774 LOC_Os02g54580 LOC_Os03g49420 LOC_Os05g43840 LOC_Os10g40580 LOC_Os01g47460 LOC_Os05g28960 LOC_Os01g36080 LOC_Os02g48116 LOC_Os03g43570 LOC_Os04g56980 LOC_Os01g21450 LOC_Os02g39010 LOC_Os12g31880 LOC_Os03g33590 LOC_Os03g57580"
"121","16","LOC_Os01g16090 LOC_Os07g47510 LOC_Os02g35890 LOC_Os06g23440 LOC_Os01g08660 LOC_Os08g34150 LOC_Os01g62230 LOC_Os03g17084 LOC_Os02g55060 LOC_Os03g59710 LOC_Os02g02510 LOC_Os09g30310 LOC_Os10g13800 LOC_Os06g45070 LOC_Os02g58010 LOC_Os05g38640"
